GA,13,001,Appling County,H1
GA,13,003,Atkinson County,H1
GA,13,005,Bacon County,H1
GA,13,007,Baker County,H1
GA,13,009,Baldwin County,H1
GA,13,011,Banks County,H1
GA,13,013,Barrow County,H1
GA,13,015,Bartow County,H1
GA,13,017,Ben Hill County,H1
GA,13,019,Berrien County,H1
GA,13,021,Bibb County,H1
GA,13,023,Bleckley County,H1
GA,13,025,Brantley County,H1
GA,13,027,Brooks County,H1
GA,13,029,Bryan County,H1
GA,13,031,Bulloch County,H1
GA,13,033,Burke County,H1
GA,13,035,Butts County,H1
GA,13,037,Calhoun County,H1
GA,13,039,Camden County,H1
GA,13,043,Candler County,H1
GA,13,045,Carroll County,H1
GA,13,047,Catoosa County,H1
GA,13,049,Charlton County,H1
GA,13,051,Chatham County,H1
GA,13,053,Chattahoochee County,H1
GA,13,055,Chattooga County,H1
GA,13,057,Cherokee County,H1
GA,13,059,Clarke County,H6
GA,13,061,Clay County,H1
GA,13,063,Clayton County,H1
GA,13,065,Clinch County,H1
GA,13,067,Cobb County,H1
GA,13,069,Coffee County,H1
GA,13,071,Colquitt County,H1
GA,13,073,Columbia County,H1
GA,13,075,Cook County,H1
GA,13,077,Coweta County,H1
GA,13,079,Crawford County,H1
GA,13,081,Crisp County,H1
GA,13,083,Dade County,H1
GA,13,085,Dawson County,H1
GA,13,087,Decatur County,H1
GA,13,089,DeKalb County,H1
GA,13,091,Dodge County,H1
GA,13,093,Dooly County,H1
GA,13,095,Dougherty County,H1
GA,13,097,Douglas County,H1
GA,13,099,Early County,H1
GA,13,101,Echols County,H1
GA,13,103,Effingham County,H1
GA,13,105,Elbert County,H1
GA,13,107,Emanuel County,H1
GA,13,109,Evans County,H1
GA,13,111,Fannin County,H1
GA,13,113,Fayette County,H1
GA,13,115,Floyd County,H1
GA,13,117,Forsyth County,H1
GA,13,119,Franklin County,H1
GA,13,121,Fulton County,H1
GA,13,123,Gilmer County,H1
GA,13,125,Glascock County,H1
GA,13,127,Glynn County,H1
GA,13,129,Gordon County,H1
GA,13,131,Grady County,H1
GA,13,133,Greene County,H1
GA,13,135,Gwinnett County,H1
GA,13,137,Habersham County,H1
GA,13,139,Hall County,H1
GA,13,141,Hancock County,H1
GA,13,143,Haralson County,H1
GA,13,145,Harris County,H1
GA,13,147,Hart County,H1
GA,13,149,Heard County,H1
GA,13,151,Henry County,H1
GA,13,153,Houston County,H1
GA,13,155,Irwin County,H1
GA,13,157,Jackson County,H1
GA,13,159,Jasper County,H1
GA,13,161,Jeff Davis County,H1
GA,13,163,Jefferson County,H1
GA,13,165,Jenkins County,H1
GA,13,167,Johnson County,H1
GA,13,169,Jones County,H1
GA,13,171,Lamar County,H1
GA,13,173,Lanier County,H1
GA,13,175,Laurens County,H1
GA,13,177,Lee County,H1
GA,13,179,Liberty County,H1
GA,13,181,Lincoln County,H1
GA,13,183,Long County,H1
GA,13,185,Lowndes County,H1
GA,13,187,Lumpkin County,H1
GA,13,189,McDuffie County,H1
GA,13,191,McIntosh County,H1
GA,13,193,Macon County,H1
GA,13,195,Madison County,H1
GA,13,197,Marion County,H1
GA,13,199,Meriwether County,H1
GA,13,201,Miller County,H1
GA,13,205,Mitchell County,H1
GA,13,207,Monroe County,H1
GA,13,209,Montgomery County,H1
GA,13,211,Morgan County,H1
GA,13,213,Murray County,H1
GA,13,215,Muscogee County,H6
GA,13,217,Newton County,H1
GA,13,219,Oconee County,H1
GA,13,221,Oglethorpe County,H1
GA,13,223,Paulding County,H1
GA,13,225,Peach County,H1
GA,13,227,Pickens County,H1
GA,13,229,Pierce County,H1
GA,13,231,Pike County,H1
GA,13,233,Polk County,H1
GA,13,235,Pulaski County,H1
GA,13,237,Putnam County,H1
GA,13,239,Quitman County,H1
GA,13,241,Rabun County,H1
GA,13,243,Randolph County,H1
GA,13,245,Richmond County,H6
GA,13,247,Rockdale County,H1
GA,13,249,Schley County,H1
GA,13,251,Screven County,H1
GA,13,253,Seminole County,H1
GA,13,255,Spalding County,H1
GA,13,257,Stephens County,H1
GA,13,259,Stewart County,H1
GA,13,261,Sumter County,H1
GA,13,263,Talbot County,H1
GA,13,265,Taliaferro County,H1
GA,13,267,Tattnall County,H1
GA,13,269,Taylor County,H1
GA,13,271,Telfair County,H1
GA,13,273,Terrell County,H1
GA,13,275,Thomas County,H1
GA,13,277,Tift County,H1
GA,13,279,Toombs County,H1
GA,13,281,Towns County,H1
GA,13,283,Treutlen County,H1
GA,13,285,Troup County,H1
GA,13,287,Turner County,H1
GA,13,289,Twiggs County,H1
GA,13,291,Union County,H1
GA,13,293,Upson County,H1
GA,13,295,Walker County,H1
GA,13,297,Walton County,H1
GA,13,299,Ware County,H1
GA,13,301,Warren County,H1
GA,13,303,Washington County,H1
GA,13,305,Wayne County,H1
GA,13,307,Webster County,H1
GA,13,309,Wheeler County,H1
GA,13,311,White County,H1
GA,13,313,Whitfield County,H1
GA,13,315,Wilcox County,H1
GA,13,317,Wilkes County,H1
GA,13,319,Wilkinson County,H1
GA,13,321,Worth County,H1