PR,72,001,Adjuntas Municipio,H1
PR,72,003,Aguada Municipio,H1
PR,72,005,Aguadilla Municipio,H1
PR,72,007,Aguas Buenas Municipio,H1
PR,72,009,Aibonito Municipio,H1
PR,72,011,Anasco Municipio,H1
PR,72,013,Arecibo Municipio,H1
PR,72,015,Arroyo Municipio,H1
PR,72,017,Barceloneta Municipio,H1
PR,72,019,Barranquitas Municipio,H1
PR,72,021,Bayamon Municipio,H1
PR,72,023,Cabo Rojo Municipio,H1
PR,72,025,Caguas Municipio,H1
PR,72,027,Camuy Municipio,H1
PR,72,029,Canovanas Municipio,H1
PR,72,031,Carolina Municipio,H1
PR,72,033,Catano Municipio,H1
PR,72,035,Cayey Municipio,H1
PR,72,037,Ceiba Municipio,H1
PR,72,039,Ciales Municipio,H1
PR,72,041,Cidra Municipio,H1
PR,72,043,Coamo Municipio,H1
PR,72,045,Comerio Municipio,H1
PR,72,047,Corozal Municipio,H1
PR,72,049,Culebra Municipio,H1
PR,72,051,Dorado Municipio,H1
PR,72,053,Fajardo Municipio,H1
PR,72,054,Florida Municipio,H1
PR,72,055,Guanica Municipio,H1
PR,72,057,Guayama Municipio,H1
PR,72,059,Guayanilla Municipio,H1
PR,72,061,Guaynabo Municipio,H1
PR,72,063,Gurabo Municipio,H1
PR,72,065,Hatillo Municipio,H1
PR,72,067,Hormigueros Municipio,H1
PR,72,069,Humacao Municipio,H1
PR,72,071,Isabela Municipio,H1
PR,72,073,Jayuya Municipio,H1
PR,72,075,Juana Diaz Municipio,H1
PR,72,077,Juncos Municipio,H1
PR,72,079,Lajas Municipio,H1
PR,72,081,Lares Municipio,H1
PR,72,083,Las Marias Municipio,H1
PR,72,085,Las Piedras Municipio,H1
PR,72,087,Loiza Municipio,H1
PR,72,089,Luquillo Municipio,H1
PR,72,091,Manati Municipio,H1
PR,72,093,Maricao Municipio,H1
PR,72,095,Maunabo Municipio,H1
PR,72,097,Mayaguez Municipio,H1
PR,72,099,Moca Municipio,H1
PR,72,101,Morovis Municipio,H1
PR,72,103,Naguabo Municipio,H1
PR,72,105,Naranjito Municipio,H1
PR,72,107,Orocovis Municipio,H1
PR,72,109,Patillas Municipio,H1
PR,72,111,Penuelas Municipio,H1
PR,72,113,Ponce Municipio,H1
PR,72,115,Quebradillas Municipio,H1
PR,72,117,Rincon Municipio,H1
PR,72,119,Rio Grande Municipio,H1
PR,72,121,Sabana Grande Municipio,H1
PR,72,123,Salinas Municipio,H1
PR,72,125,San German Municipio,H1
PR,72,127,San Juan Municipio,H1
PR,72,129,San Lorenzo Municipio,H1
PR,72,131,San Sebastian Municipio,H1
PR,72,133,Santa Isabel Municipio,H1
PR,72,135,Toa Alta Municipio,H1
PR,72,137,Toa Baja Municipio,H1
PR,72,139,Trujillo Alto Municipio,H1
PR,72,141,Utuado Municipio,H1
PR,72,143,Vega Alta Municipio,H1
PR,72,145,Vega Baja Municipio,H1
PR,72,147,Vieques Municipio,H1
PR,72,149,Villalba Municipio,H1
PR,72,151,Yabucoa Municipio,H1
PR,72,153,Yauco Municipio,H1